OrderID,CustomerID,OrderDate,OrderStatus,TotalAmount
"ORD-50001","CUST-1530","2026-03-15","Shipped","47788.6"
"ORD-50002","CUST-1577","2025-04-09","Cancelled","78050.76"
"ORD-50003","CUST-1132","2024-09-24","Delivered","6973.8"
"ORD-50004","CUST-1074","2023-02-18","Processing","7298.19"
"ORD-50005","CUST-1420","2024-03-20","Pending","43136.13"
"ORD-50006","CUST-1728","2025-10-04","Cancelled","6973.8"
"ORD-50007","CUST-1636","2023-01-17","Delivered","25895.47"
"ORD-50008","CUST-1017","2025-04-18","Pending","62587.54"
"ORD-50009","CUST-1443","2025-01-08","Cancelled","25010.11"
"ORD-50010","CUST-1759","2024-10-14","Pending","41380.17"
"ORD-50011","CUST-1466","2026-02-28","Delivered","15442.15"
"ORD-50012","CUST-1248","2025-11-01","Cancelled","40309.31"
"ORD-50013","CUST-1346","2025-01-19","Processing","5908.63"
"ORD-50014","CUST-1441","2025-11-11","Delivered","4550.48"
"ORD-50015","CUST-1652","2025-12-19","Delivered","34014.64"
"ORD-50016","CUST-1091","2025-06-29","Shipped","26138.46"
"ORD-50017","CUST-1582","2023-04-19","Processing","30959.62"
"ORD-50018","CUST-1508","2023-10-09","Processing","20210.97"
"ORD-50019","CUST-1311","2023-06-03","Shipped","14973.58"
"ORD-50020","CUST-1526","2026-01-26","Delivered","6209.41"
"ORD-50021","CUST-1750","2026-02-27","Shipped","33050.21"
"ORD-50022","CUST-1559","2025-04-27","Shipped","52556.35"
"ORD-50023","CUST-1471","2026-02-27","Cancelled","31963.12"
"ORD-50024","CUST-1736","2025-01-27","Pending","21591.62"
"ORD-50025","CUST-1045","2026-01-20","Processing","21325.39"
"ORD-50026","CUST-1439","2025-02-03","Delivered","18628.23"
"ORD-50027","CUST-1042","2025-12-21","Processing","40033.25"
"ORD-50028","CUST-1328","2023-04-03","Pending","34717.03"
"ORD-50029","CUST-1498","2026-01-17","Shipped","10383.24"
"ORD-50030","CUST-1067","2023-06-29","Cancelled","55363.74"
"ORD-50031","CUST-1287","2025-03-20","Cancelled","13365.04"
"ORD-50032","CUST-1348","2025-04-25","Delivered","13505.09"
"ORD-50033","CUST-1303","2024-09-17","Delivered","11931.32"
"ORD-50034","CUST-1726","2024-11-15","Processing","10753.72"
"ORD-50035","CUST-1708","2024-12-23","Processing","38645.67"
"ORD-50036","CUST-1017","2023-04-02","Shipped","30324.62"
"ORD-50037","CUST-1762","2025-05-03","Cancelled","3566.69"
"ORD-50038","CUST-1525","2025-02-22","Cancelled","23522.88"
"ORD-50039","CUST-1393","2023-05-10","Cancelled","49460.44"
"ORD-50040","CUST-1432","2025-12-16","Pending","36385.83"
"ORD-50041","CUST-1195","2025-08-26","Cancelled","15504.43"
"ORD-50042","CUST-1541","2023-06-08","Shipped","13297.38"
"ORD-50043","CUST-1684","2023-09-06","Shipped","33621.12"
"ORD-50044","CUST-1180","2024-03-23","Delivered","9673.82"
"ORD-50045","CUST-1046","2026-05-14","Delivered","38394.16"
"ORD-50046","CUST-1393","2024-01-15","Pending","11931.32"
"ORD-50047","CUST-1622","2025-12-13","Delivered","13932"
"ORD-50048","CUST-1482","2025-03-11","Delivered","9434.88"
"ORD-50049","CUST-1748","2024-05-26","Pending","41895.46"
"ORD-50050","CUST-1195","2023-08-26","Pending","28891.62"
"ORD-50051","CUST-1563","2024-06-29","Delivered","37513.34"
"ORD-50052","CUST-1148","2023-02-27","Cancelled","16006.59"
"ORD-50053","CUST-1084","2025-09-08","Cancelled","32498.82"
"ORD-50054","CUST-1156","2023-05-06","Cancelled","45690.88"
"ORD-50055","CUST-1669","2023-05-22","Shipped","42769.94"
"ORD-50056","CUST-1793","2025-10-05","Shipped","18225.29"
